"ID","Title","OperationalStatus","CurrentActivity","WaitingOn","NextStep","TargetDate","Risk","ProgressPhase"
"1","AV / Network Design Coordination","In Progress","Coordinating AV and network design from client requirements, architectural backgrounds, and equipment-room planning.",,"Continue coordinated drawings, rack/equipment planning, and design development.","08/21/2026 12:00:00","Coordination remains dependent on evolving architectural and ceiling information.","Engineering"
"3","Lighting Control / Shade Coordination","In Progress","Coordinating lighting control, keypad, and shade requirements with the architectural and lighting design.","Ongoing coordinated lighting and ceiling information.","Maintain coordinated control/shade layouts as design information is finalized.","09/11/2026 12:00:00","Fixture, ceiling, and window-treatment changes can affect control and shade requirements.","Engineering"
"5","Preliminary AV / Network Planning","Awaiting Review","Using Russell's marked AV-zone plan and room-size coverage assumptions to establish a preliminary AV/network equipment matrix and basic rack/equipment requirements.","Current coordinated architectural CAD backgrounds and later RCP/lighting information.","Refine the preliminary plan when usable architectural backgrounds are issued.","08/24/2026 12:00:00","Current planning is based on limited marked-up drawings and preliminary assumptions.",
"6","AV Room BTU Calculations","In Progress","Preparing preliminary AV equipment and BTU / heat-load calculations for 2340.","Any remaining equipment assumptions needed to complete the preliminary calculations.","Finalize the calculations and review them with Russell during the week of August 17, 2026.","08/28/2026 12:00:00","Incomplete equipment assumptions can affect the preliminary heat-load calculation.","Engineering"
"7","Battery / Inverter / Dynamic Load Shedding Layout","In Progress","Developing preliminary battery, inverter, and dynamic-load-shedding equipment layout and space requirements for the plant building.","CES electrical load calculations / early one-line as available.","Confirm required equipment dimensions, floor area, wall space, and clearances and issue the requirements to the design team.",,"Late equipment-size or electrical-load changes can affect the plant-building room size and wall-space allocation.","Engineering"
"8","Technical Power Planning","Waiting on Information","Preparing to begin technical power plans and equipment-room layouts.","Usable CAD backgrounds plus lighting/control information as it becomes available.","Begin coordinated technical power and room-layout work when current backgrounds are received.","08/28/2026 12:00:00","Technical power development is constrained by incomplete architectural and lighting information.",
"11","Keypad Locations","Awaiting Review",,"Review comments / markups","Incorporate comments and finalize layout.","09/11/2026 12:00:00",,"Engineering"
"12","Main House Speaker Layout","Awaiting Review","Sent to Engineering ","Engineering Review","Issue preliminary layout for Russel Edwards / team review.","09/11/2026 12:00:00",,"Engineering"
"13","Revised Wi-Fi Heat Map","In Progress",,,"Issue revised heat map.","09/11/2026 12:00:00",,"Engineering"
"23","Device Location Review Package","Pending","The preliminary device-location package will combine the current discipline layouts for coordinated review.","Completion of current speaker, Wi-Fi, CCTV, access, lighting, shade, and related layouts","Compile and issue a coordinated preliminary device-location package for review.","09/11/2026 12:00:00","The package depends on multiple discipline layouts reaching a reviewable state.","Engineering"
"24","Life Safety Fire System Layout / Power Requirements","In Progress","AHT committed to getting Paul engaged to lay out the life-safety fire system and establish its power requirements.","Paul's life-safety system layout and electrical / power requirements.","Bill to engage Paul and obtain the layout and power requirements for coordination with the project team.","08/21/2026 12:00:00","Late power requirements can affect electrical coordination and equipment-space planning.","Engineering"
"25","Battery Weight Information","In Progress","Obtaining the battery-system weight information required for plant-building coordination.","Battery / equipment weight data from the system design source.","Obtain the battery weight information and send it to Jose.","08/18/2026 12:00:00","Structural / equipment-room coordination depends on accurate equipment weight information.","Engineering"
